,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26
43,2108,2,113,16,,5,2021-05-17 14:58:18,2021-05-17 14:58:18,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,1987,2,113,25,,27,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan
45,1986,2,113,24,,21,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
46,1985,2,113,23,,27,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan
47,1984,2,113,22,,28,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,nan,nan,nan,2,nan,nan,nan,nan
48,1983,2,113,21,,15,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
49,1982,2,113,20,,13,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
50,1981,2,113,19,,11,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
51,1980,2,113,18,,29,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan
52,1979,2,113,17,,29,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,1978,2,113,16,,5,2021-05-14 15:17:25,2021-05-14 15:17:25,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,1929,2,113,26,bien todo normal,25,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
55,1928,2,113,25,,23,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
56,1927,2,113,24,,21,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
57,1926,2,113,23,,19,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
58,1925,2,113,22,,17,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
59,1924,2,113,21,,15,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
60,1923,2,113,20,,13,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
61,1922,2,113,19,,11,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
62,1921,2,113,18,,28,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,nan,2,nan,nan,nan,nan,nan,nan,nan,nan
63,1920,2,113,17,,7,2021-05-12 14:15:33,2021-05-12 14:15:33,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,1919,2,113,16,,5,2021-05-12 14:15:33,2021-05-12 14:15:33,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,1883,2,113,26,domingo 9/5/2021 falta de aire  mocos y dolor leve en el pecho al toser tarde mucho mejor. lunes 10/05/2021.dolor intermitente en sienes lado izquierdo como jaquecas por la tarde mucho mejor.hoy no me e  inyectado  enoxaparina.mañana me toca consulta día 11/05/2021. se lo comentaré al doctor y el por qué,25,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
66,1882,2,113,25,,23,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
67,1881,2,113,24,,21,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
68,1880,2,113,23,,29,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,nan,nan,nan,nan,3,nan,nan,nan
69,1879,2,113,22,,17,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
70,1878,2,113,21,,29,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan
71,1877,2,113,20,,13,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
72,1876,2,113,19,,11,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
73,1875,2,113,18,,9,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
74,1874,2,113,17,,7,2021-05-10 16:24:02,2021-05-10 16:24:02,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,1873,2,113,16,,28,2021-05-10 16:24:02,2021-05-10 16:24:02,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76,1761,2,113,26,ahora bien ayer como falta de aire,25,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
77,1988,2,113,26,"algo mareado  pero bien


algo mareado pero bien",28,2021-05-14 15:17:25,2021-05-14 15:17:25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
78,2118,2,113,26,,25,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
79,2117,2,113,25,,23,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
80,2116,2,113,24,,21,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
81,2115,2,113,23,,19,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
