,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
286,286,2075,2,123,16,,32,2021-05-17 08:46:48,2021-05-17 08:46:48,6.0,,,,,,,,,,,W011
295,295,2084,2,123,25,,23,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,,,,,,,0.0,,W011
288,288,2077,2,123,18,,9,2021-05-17 08:46:48,2021-05-17 08:46:48,,,0.0,,,,,,,,,W011
289,289,2078,2,123,19,,11,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,0.0,,,,,,,,W011
290,290,2079,2,123,20,,32,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,,6.0,,,,,,,W011
291,291,2080,2,123,21,,33,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,,,7.0,,,,,,W011
296,296,2085,2,123,26,,25,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,,,,,,,,0.0,W011
292,292,2081,2,123,22,,33,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,,,,7.0,,,,,W011
293,293,2082,2,123,23,,19,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,,,,,0.0,,,,W011
294,294,2083,2,123,24,,31,2021-05-17 08:46:48,2021-05-17 08:46:48,,,,,,,,,5.0,,,W011
287,287,2076,2,123,17,,33,2021-05-17 08:46:48,2021-05-17 08:46:48,,7.0,,,,,,,,,,W011
318,318,2130,2,123,16,,31,2021-05-19 13:20:40,2021-05-19 13:20:40,5.0,,,,,,,,,,,W011
319,319,2131,2,123,17,,31,2021-05-19 13:20:40,2021-05-19 13:20:40,,5.0,,,,,,,,,,W011
321,321,2133,2,123,19,,11,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,0.0,,,,,,,,W011
322,322,2134,2,123,20,,31,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,,5.0,,,,,,,W011
323,323,2135,2,123,21,,34,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,,,8.0,,,,,,W011
324,324,2136,2,123,22,,32,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,,,,6.0,,,,,W011
325,325,2137,2,123,23,,29,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,,,,,3.0,,,,W011
326,326,2138,2,123,24,,31,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,,,,,,5.0,,,W011
327,327,2139,2,123,25,,32,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,,,,,,,6.0,,W011
328,328,2140,2,123,26,"dolor de garganta ,congention nasal",32,2021-05-19 13:20:40,2021-05-19 13:20:40,,,,,,,,,,,6.0,W011
320,320,2132,2,123,18,,30,2021-05-19 13:20:40,2021-05-19 13:20:40,,,4.0,,,,,,,,,W011
302,302,2244,2,123,20,,32,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,,6.0,,,,,,,W011
303,303,2243,2,123,19,,11,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,0.0,,,,,,,,W011
298,298,2248,2,123,24,,33,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,,,,,,7.0,,,W011
299,299,2247,2,123,23,,19,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,,,,,0.0,,,,W011
300,300,2246,2,123,22,,17,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,,,,0.0,,,,,W011
301,301,2245,2,123,21,,34,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,,,8.0,,,,,,W011
304,304,2242,2,123,18,,32,2021-05-21 15:16:42,2021-05-21 15:16:42,,,6.0,,,,,,,,,W011
305,305,2241,2,123,17,,33,2021-05-21 15:16:42,2021-05-21 15:16:42,,7.0,,,,,,,,,,W011
306,306,2240,2,123,16,,32,2021-05-21 15:16:42,2021-05-21 15:16:42,6.0,,,,,,,,,,,W011
285,285,2250,2,123,26,,25,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,,,,,,,,0.0,W011
297,297,2249,2,123,25,,31,2021-05-21 15:16:42,2021-05-21 15:16:42,,,,,,,,,,5.0,,W011
338,338,2576,2,123,17,,30,2021-05-31 09:11:55,2021-05-31 09:11:55,,4.0,,,,,,,,,,W011
340,340,2575,2,123,16,,30,2021-05-31 09:11:55,2021-05-31 09:11:55,4.0,,,,,,,,,,,W011
265,265,2577,2,123,18,,28,2021-05-31 09:11:55,2021-05-31 09:11:55,,,2.0,,,,,,,,,W011
266,266,2578,2,123,19,,29,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,3.0,,,,,,,,W011
267,267,2579,2,123,20,,27,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,,1.0,,,,,,,W011
268,268,2580,2,123,21,,32,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,,,6.0,,,,,,W011
269,269,2581,2,123,22,,28,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,,,,2.0,,,,,W011
270,270,2582,2,123,23,,28,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,,,,,2.0,,,,W011
271,271,2583,2,123,24,,31,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,,,,,,5.0,,,W011
272,272,2584,2,123,25,,30,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,,,,,,,4.0,,W011
273,273,2585,2,123,26,,32,2021-05-31 09:11:55,2021-05-31 09:11:55,,,,,,,,,,,6.0,W011
283,283,2688,2,123,25,,30,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,,,,,,,4.0,,W011
274,274,2679,2,123,16,,33,2021-06-02 05:49:07,2021-06-02 05:49:07,7.0,,,,,,,,,,,W011
284,284,2689,2,123,26,,30,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,,,,,,,,4.0,W011
276,276,2681,2,123,18,,31,2021-06-02 05:49:07,2021-06-02 05:49:07,,,5.0,,,,,,,,,W011
275,275,2680,2,123,17,,33,2021-06-02 05:49:07,2021-06-02 05:49:07,,7.0,,,,,,,,,,W011
280,280,2685,2,123,22,,29,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,,,,3.0,,,,,W011
282,282,2687,2,123,24,,33,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,,,,,,7.0,,,W011
277,277,2682,2,123,19,,11,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,0.0,,,,,,,,W011
278,278,2683,2,123,20,,13,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,,0.0,,,,,,,W011
279,279,2684,2,123,21,,28,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,,,2.0,,,,,,W011
281,281,2686,2,123,23,,28,2021-06-02 05:49:07,2021-06-02 05:49:07,,,,,,,,2.0,,,,W011
337,337,2800,2,123,18,,9,2021-06-04 07:09:19,2021-06-04 07:09:19,,,0.0,,,,,,,,,W011
336,336,2801,2,123,19,,11,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,0.0,,,,,,,,W011
335,335,2802,2,123,20,,13,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,,0.0,,,,,,,W011
334,334,2803,2,123,21,,32,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,,,6.0,,,,,,W011
333,333,2804,2,123,22,,28,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,,,,2.0,,,,,W011
332,332,2805,2,123,23,,19,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,,,,,0.0,,,,W011
331,331,2806,2,123,24,,33,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,,,,,,7.0,,,W011
330,330,2807,2,123,25,,29,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,,,,,,,3.0,,W011
329,329,2808,2,123,26,,28,2021-06-04 07:09:19,2021-06-04 07:09:19,,,,,,,,,,,2.0,W011
264,264,2799,2,123,17,,30,2021-06-04 07:09:19,2021-06-04 07:09:19,,4.0,,,,,,,,,,W011
339,339,2798,2,123,16,,5,2021-06-04 07:09:19,2021-06-04 07:09:19,0.0,,,,,,,,,,,W011
