,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
396,396,2163,2,125,16,,27,2021-05-21 07:38:05,2021-05-21 07:38:05,1.0,,,,,,,,,,,W013
398,398,2165,2,125,18,,29,2021-05-21 07:38:05,2021-05-21 07:38:05,,,3.0,,,,,,,,,W013
399,399,2166,2,125,19,,11,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,0.0,,,,,,,,W013
400,400,2167,2,125,20,,27,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,,1.0,,,,,,,W013
401,401,2168,2,125,21,,30,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,,,4.0,,,,,,W013
402,402,2169,2,125,22,,28,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,,,,2.0,,,,,W013
403,403,2170,2,125,23,,27,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,,,,,1.0,,,,W013
404,404,2171,2,125,24,,31,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,,,,,,5.0,,,W013
405,405,2172,2,125,25,,29,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,,,,,,,3.0,,W013
406,406,2173,2,125,26,,25,2021-05-21 07:38:05,2021-05-21 07:38:05,,,,,,,,,,,0.0,W013
397,397,2164,2,125,17,,27,2021-05-21 07:38:05,2021-05-21 07:38:05,,1.0,,,,,,,,,,W013
415,415,2335,2,125,24,,30,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,,,,,,4.0,,,W013
414,414,2334,2,125,23,,28,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,,,,,2.0,,,,W013
413,413,2333,2,125,22,,29,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,,,,3.0,,,,,W013
407,407,2327,2,125,16,,27,2021-05-24 07:19:08,2021-05-24 07:19:08,1.0,,,,,,,,,,,W013
410,410,2330,2,125,19,,27,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,1.0,,,,,,,,W013
409,409,2329,2,125,18,,27,2021-05-24 07:19:08,2021-05-24 07:19:08,,,1.0,,,,,,,,,W013
408,408,2328,2,125,17,,29,2021-05-24 07:19:08,2021-05-24 07:19:08,,3.0,,,,,,,,,,W013
416,416,2336,2,125,25,,30,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,,,,,,,4.0,,W013
411,411,2331,2,125,20,,28,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,,2.0,,,,,,,W013
428,428,2337,2,125,26,,25,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,,,,,,,,0.0,W013
412,412,2332,2,125,21,,31,2021-05-24 07:19:08,2021-05-24 07:19:08,,,,,,5.0,,,,,,W013
379,379,2422,2,125,21,,29,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,,,3.0,,,,,,W013
380,380,2421,2,125,20,,28,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,,2.0,,,,,,,W013
383,383,2418,2,125,17,,27,2021-05-26 08:51:02,2021-05-26 08:51:02,,1.0,,,,,,,,,,W013
378,378,2423,2,125,22,,27,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,,,,1.0,,,,,W013
377,377,2424,2,125,23,,27,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,,,,,1.0,,,,W013
376,376,2425,2,125,24,,27,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,,,,,,1.0,,,W013
375,375,2426,2,125,25,,30,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,,,,,,,4.0,,W013
374,374,2427,2,125,26,,25,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,,,,,,,,0.0,W013
384,384,2417,2,125,16,,27,2021-05-26 08:51:02,2021-05-26 08:51:02,1.0,,,,,,,,,,,W013
382,382,2419,2,125,18,,27,2021-05-26 08:51:02,2021-05-26 08:51:02,,,1.0,,,,,,,,,W013
381,381,2420,2,125,19,,11,2021-05-26 08:51:02,2021-05-26 08:51:02,,,,0.0,,,,,,,,W013
349,349,2478,2,125,18,,28,2021-05-28 08:05:32,2021-05-28 08:05:32,,,2.0,,,,,,,,,W013
348,348,2479,2,125,19,,11,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,0.0,,,,,,,,W013
347,347,2480,2,125,20,,29,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,,3.0,,,,,,,W013
346,346,2481,2,125,21,,30,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,,,4.0,,,,,,W013
345,345,2482,2,125,22,,27,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,,,,1.0,,,,,W013
344,344,2483,2,125,23,,27,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,,,,,1.0,,,,W013
343,343,2484,2,125,24,,28,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,,,,,,2.0,,,W013
342,342,2485,2,125,25,,29,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,,,,,,,3.0,,W013
350,350,2477,2,125,17,,28,2021-05-28 08:05:32,2021-05-28 08:05:32,,2.0,,,,,,,,,,W013
341,341,2486,2,125,26,,25,2021-05-28 08:05:32,2021-05-28 08:05:32,,,,,,,,,,,0.0,W013
351,351,2476,2,125,16,,27,2021-05-28 08:05:32,2021-05-28 08:05:32,1.0,,,,,,,,,,,W013
352,352,2564,2,125,16,,27,2021-05-31 08:21:37,2021-05-31 08:21:37,1.0,,,,,,,,,,,W013
353,353,2565,2,125,17,,29,2021-05-31 08:21:37,2021-05-31 08:21:37,,3.0,,,,,,,,,,W013
354,354,2566,2,125,18,,28,2021-05-31 08:21:37,2021-05-31 08:21:37,,,2.0,,,,,,,,,W013
355,355,2567,2,125,19,,11,2021-05-31 08:21:37,2021-05-31 08:21:37,,,,0.0,,,,,,,,W013
356,356,2568,2,125,20,,28,2021-05-31 08:21:37,2021-05-31 08:21:37,,,,,2.0,,,,,,,W013
357,357,2569,2,125,21,,30,2021-05-31 08:21:37,2021-05-31 08:21:37,,,,,,4.0,,,,,,W013
358,358,2570,2,125,22,,28,2021-05-31 08:21:37,2021-05-31 08:21:37,,,,,,,2.0,,,,,W013
359,359,2571,2,125,23,,27,2021-05-31 08:21:37,2021-05-31 08:21:37,,,,,,,,1.0,,,,W013
