,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
749,749,1976,2,128,25,,23,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,,,,,,,0.0,,W016
758,758,1967,2,128,16,,5,2021-05-14 13:38:54,2021-05-14 13:38:54,0.0,,,,,,,,,,,W016
757,757,1968,2,128,17,,27,2021-05-14 13:38:54,2021-05-14 13:38:54,,1.0,,,,,,,,,,W016
756,756,1969,2,128,18,,9,2021-05-14 13:38:54,2021-05-14 13:38:54,,,0.0,,,,,,,,,W016
755,755,1970,2,128,19,,11,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,0.0,,,,,,,,W016
754,754,1971,2,128,20,,27,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,,1.0,,,,,,,W016
753,753,1972,2,128,21,,15,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,,,0.0,,,,,,W016
752,752,1973,2,128,22,,17,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,,,,0.0,,,,,W016
751,751,1974,2,128,23,,19,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,,,,,0.0,,,,W016
750,750,1975,2,128,24,,27,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,,,,,,1.0,,,W016
748,748,1977,2,128,26,,25,2021-05-14 13:38:54,2021-05-14 13:38:54,,,,,,,,,,,0.0,W016
701,701,2067,2,128,24,,27,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,,,,,,1.0,,,W016
700,700,2066,2,128,23,,19,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,,,,,0.0,,,,W016
699,699,2065,2,128,22,,17,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,,,,0.0,,,,,W016
694,694,2060,2,128,17,,27,2021-05-17 07:07:29,2021-05-17 07:07:29,,1.0,,,,,,,,,,W016
693,693,2059,2,128,16,,5,2021-05-17 07:07:29,2021-05-17 07:07:29,0.0,,,,,,,,,,,W016
697,697,2063,2,128,20,,13,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,,0.0,,,,,,,W016
696,696,2062,2,128,19,,11,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,0.0,,,,,,,,W016
695,695,2061,2,128,18,,9,2021-05-17 07:07:29,2021-05-17 07:07:29,,,0.0,,,,,,,,,W016
702,702,2068,2,128,25,,23,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,,,,,,,0.0,,W016
698,698,2064,2,128,21,,15,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,,,0.0,,,,,,W016
703,703,2069,2,128,26,,25,2021-05-17 07:07:29,2021-05-17 07:07:29,,,,,,,,,,,0.0,W016
714,714,2129,2,128,26,,25,2021-05-19 11:23:25,2021-05-19 11:23:25,,,,,,,,,,,0.0,W016
705,705,2120,2,128,17,,27,2021-05-19 11:23:25,2021-05-19 11:23:25,,1.0,,,,,,,,,,W016
706,706,2121,2,128,18,,9,2021-05-19 11:23:25,2021-05-19 11:23:25,,,0.0,,,,,,,,,W016
707,707,2122,2,128,19,,11,2021-05-19 11:23:25,2021-05-19 11:23:25,,,,0.0,,,,,,,,W016
708,708,2123,2,128,20,,27,2021-05-19 11:23:25,2021-05-19 11:23:25,,,,,1.0,,,,,,,W016
710,710,2125,2,128,22,,27,2021-05-19 11:23:25,2021-05-19 11:23:25,,,,,,,1.0,,,,,W016
711,711,2126,2,128,23,,19,2021-05-19 11:23:25,2021-05-19 11:23:25,,,,,,,,0.0,,,,W016
