,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
448,448,1952,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
441,441,1945,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
442,442,1946,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
443,443,1947,2,126,18,,27,2021-05-14 08:26:19,2021-05-14 08:26:19,,,1.0,,,,,,,,,W014
444,444,1948,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
445,445,1949,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
446,446,1950,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
447,447,1951,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
449,449,1953,2,126,24,,27,2021-05-14 08:26:19,2021-05-14 08:26:19,,,,,,,,,1.0,,,W014
450,450,1954,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
451,451,1955,2,126,16,,5,2021-05-14 08:26:19,2021-05-14 08:26:19,0.0,,,,,,,,,,,W014
459,459,1963,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
460,460,1964,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
462,462,1966,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
458,458,1962,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
461,461,1965,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
457,457,1961,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
453,453,1957,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
455,455,1959,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
454,454,1958,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
452,452,1956,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
456,456,1960,2,126,16,,5,2021-05-14 08:26:55,2021-05-14 08:26:55,0.0,,,,,,,,,,,W014
469,469,2092,2,126,22,,29,2021-05-17 14:11:30,2021-05-17 14:11:30,,,,,,,3.0,,,,,W014
473,473,2096,2,126,16,,5,2021-05-17 14:11:30,2021-05-17 14:11:30,0.0,,,,,,,,,,,W014
472,472,2095,2,126,25,,29,2021-05-17 14:11:30,2021-05-17 14:11:30,,,,,,,,,,3.0,,W014
471,471,2094,2,126,24,,28,2021-05-17 14:11:30,2021-05-17 14:11:30,,,,,,,,,2.0,,,W014
