,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
242,242,358,2,122,17,,27,2021-02-19 16:31:36,2021-02-19 16:31:36,,1.0,,,,,,,,,,W010
249,249,365,2,122,24,,31,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,,,,,5.0,,,W010
248,248,364,2,122,23,,27,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,,,,1.0,,,,W010
247,247,363,2,122,22,,17,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,,,0.0,,,,,W010
240,240,357,2,122,26,,5,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,,,,,,,,W010
246,246,362,2,122,21,,28,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,,2.0,,,,,,W010
245,245,361,2,122,20,,27,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,1.0,,,,,,,W010
244,244,360,2,122,19,,11,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,0.0,,,,,,,,W010
243,243,359,2,122,18,,9,2021-02-19 16:31:36,2021-02-19 16:31:36,,,0.0,,,,,,,,,W010
250,250,366,2,122,25,,29,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,,,,,,3.0,,W010
251,251,367,2,122,26,,25,2021-02-19 16:31:36,2021-02-19 16:31:36,,,,,,,,,,,0.0,W010
254,254,380,2,122,18,,9,2021-02-22 11:06:06,2021-02-22 11:06:06,,,0.0,,,,,,,,,W010
255,255,381,2,122,19,,11,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,0.0,,,,,,,,W010
256,256,382,2,122,20,,13,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,0.0,,,,,,,W010
262,262,388,2,122,26,,25,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,,,,,,,0.0,W010
257,257,383,2,122,21,,15,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,,0.0,,,,,,W010
258,258,384,2,122,22,,17,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,,,0.0,,,,,W010
259,259,385,2,122,23,,27,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,,,,1.0,,,,W010
260,260,386,2,122,24,,31,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,,,,,5.0,,,W010
261,261,387,2,122,25,,29,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,,,,,,3.0,,W010
253,253,379,2,122,17,,7,2021-02-22 11:06:06,2021-02-22 11:06:06,,0.0,,,,,,,,,,W010
252,252,378,2,122,26,,5,2021-02-22 11:06:06,2021-02-22 11:06:06,,,,,,,,,,,,W010
263,263,394,2,122,26,,5,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,,,,,,,,W010
228,228,396,2,122,18,,9,2021-02-24 13:10:20,2021-02-24 13:10:20,,,0.0,,,,,,,,,W010
227,227,397,2,122,19,,11,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,0.0,,,,,,,,W010
226,226,398,2,122,20,,13,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,0.0,,,,,,,W010
224,224,400,2,122,22,,17,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,,,0.0,,,,,W010
223,223,401,2,122,23,,19,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,,,,0.0,,,,W010
222,222,402,2,122,24,,31,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,,,,,5.0,,,W010
221,221,403,2,122,25,,29,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,,,,,,3.0,,W010
220,220,404,2,122,26,,25,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,,,,,,,0.0,W010
229,229,395,2,122,17,,7,2021-02-24 13:10:20,2021-02-24 13:10:20,,0.0,,,,,,,,,,W010
225,225,399,2,122,21,,27,2021-02-24 13:10:20,2021-02-24 13:10:20,,,,,,1.0,,,,,,W010
209,209,435,2,122,26,,25,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,,,,,,,0.0,W010
218,218,426,2,122,17,,7,2021-02-26 11:37:33,2021-02-26 11:37:33,,0.0,,,,,,,,,,W010
210,210,434,2,122,25,,29,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,,,,,,3.0,,W010
211,211,433,2,122,24,,31,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,,,,,5.0,,,W010
212,212,432,2,122,23,,19,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,,,,0.0,,,,W010
213,213,431,2,122,22,,17,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,,,0.0,,,,,W010
214,214,430,2,122,21,,29,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,,3.0,,,,,,W010
215,215,429,2,122,20,,13,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,0.0,,,,,,,W010
216,216,428,2,122,19,,11,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,0.0,,,,,,,,W010
217,217,427,2,122,18,,9,2021-02-26 11:37:33,2021-02-26 11:37:33,,,0.0,,,,,,,,,W010
219,219,425,2,122,26,,5,2021-02-26 11:37:33,2021-02-26 11:37:33,,,,,,,,,,,,W010
