,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
185,185,552,2,121,26,boca muy amarga,32,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,,,,,,,6.0,W007
176,176,543,2,121,17,,31,2021-03-15 09:30:07,2021-03-15 09:30:07,,5.0,,,,,,,,,,W007
177,177,544,2,121,18,,9,2021-03-15 09:30:07,2021-03-15 09:30:07,,,0.0,,,,,,,,,W007
178,178,545,2,121,19,,11,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,0.0,,,,,,,,W007
179,179,546,2,121,20,,13,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,0.0,,,,,,,W007
180,180,547,2,121,21,,31,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,,5.0,,,,,,W007
181,181,548,2,121,22,,29,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,,,3.0,,,,,W007
182,182,549,2,121,23,,19,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,,,,0.0,,,,W007
183,183,550,2,121,24,,32,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,,,,,6.0,,,W007
184,184,551,2,121,25,,29,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,,,,,,3.0,,W007
175,175,542,2,121,26,,5,2021-03-15 09:30:07,2021-03-15 09:30:07,,,,,,,,,,,,W007
188,188,560,2,121,18,,9,2021-03-17 07:37:53,2021-03-17 07:37:53,,,0.0,,,,,,,,,W007
189,189,561,2,121,19,,11,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,0.0,,,,,,,,W007
190,190,562,2,121,20,,13,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,0.0,,,,,,,W007
192,192,564,2,121,22,,28,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,,,2.0,,,,,W007
191,191,563,2,121,21,,28,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,,2.0,,,,,,W007
194,194,566,2,121,24,,27,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,,,,,1.0,,,W007
195,195,567,2,121,25,,28,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,,,,,,2.0,,W007
196,196,568,2,121,26,boca sabor amargo,25,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,,,,,,,0.0,W007
187,187,559,2,121,17,,27,2021-03-17 07:37:53,2021-03-17 07:37:53,,1.0,,,,,,,,,,W007
193,193,565,2,121,23,,28,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,,,,2.0,,,,W007
186,186,558,2,121,26,,5,2021-03-17 07:37:53,2021-03-17 07:37:53,,,,,,,,,,,,W007
207,207,609,2,121,26,boca amarga,25,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,,,,,,,0.0,W007
198,198,600,2,121,17,,28,2021-03-19 08:27:58,2021-03-19 08:27:58,,2.0,,,,,,,,,,W007
199,199,601,2,121,18,,9,2021-03-19 08:27:58,2021-03-19 08:27:58,,,0.0,,,,,,,,,W007
200,200,602,2,121,19,,11,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,0.0,,,,,,,,W007
201,201,603,2,121,20,,13,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,0.0,,,,,,,W007
202,202,604,2,121,21,,28,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,,2.0,,,,,,W007
203,203,605,2,121,22,,28,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,,,2.0,,,,,W007
204,204,606,2,121,23,,28,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,,,,2.0,,,,W007
205,205,607,2,121,24,,29,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,,,,,3.0,,,W007
206,206,608,2,121,25,,29,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,,,,,,3.0,,W007
197,197,599,2,121,26,,27,2021-03-19 08:27:58,2021-03-19 08:27:58,,,,,,,,,,,1.0,W007
132,132,615,2,121,26,,27,2021-03-22 09:27:43,2021-03-22 09:27:43,,,,,,,,,,,1.0,W007
208,208,616,2,121,17,,27,2021-03-22 09:27:43,2021-03-22 09:27:43,,1.0,,,,,,,,,,W007
140,140,624,2,121,25,,27,2021-03-22 09:27:43,2021-03-22 09:27:43,,,,,,,,,,1.0,,W007
