,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
800,800,2495,2,173,24,,32,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,,,,,,6.0,,,W017
798,798,2493,2,173,22,,29,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,,,,3.0,,,,,W017
797,797,2492,2,173,21,,15,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,,,0.0,,,,,,W017
796,796,2491,2,173,20,,32,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,,6.0,,,,,,,W017
795,795,2490,2,173,19,,11,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,0.0,,,,,,,,W017
794,794,2489,2,173,18,,31,2021-05-28 09:23:54,2021-05-28 09:23:54,,,5.0,,,,,,,,,W017
793,793,2488,2,173,17,,32,2021-05-28 09:23:54,2021-05-28 09:23:54,,6.0,,,,,,,,,,W017
792,792,2487,2,173,16,,32,2021-05-28 09:23:54,2021-05-28 09:23:54,6.0,,,,,,,,,,,W017
801,801,2496,2,173,25,,31,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,,,,,,,5.0,,W017
802,802,2497,2,173,26,sequedad de boca,30,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,,,,,,,,4.0,W017
799,799,2494,2,173,23,,32,2021-05-28 09:23:54,2021-05-28 09:23:54,,,,,,,,6.0,,,,W017
807,807,2553,2,173,16,,32,2021-05-31 07:34:02,2021-05-31 07:34:02,6.0,,,,,,,,,,,W017
778,778,2561,2,173,24,,31,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,,,,,,5.0,,,W017
771,771,2554,2,173,17,,32,2021-05-31 07:34:02,2021-05-31 07:34:02,,6.0,,,,,,,,,,W017
772,772,2555,2,173,18,,32,2021-05-31 07:34:02,2021-05-31 07:34:02,,,6.0,,,,,,,,,W017
780,780,2563,2,173,26,sequedad de boca,35,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,,,,,,,,9.0,W017
773,773,2556,2,173,19,,11,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,0.0,,,,,,,,W017
774,774,2557,2,173,20,,32,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,,6.0,,,,,,,W017
775,775,2558,2,173,21,,15,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,,,0.0,,,,,,W017
776,776,2559,2,173,22,,31,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,,,,5.0,,,,,W017
779,779,2562,2,173,25,,32,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,,,,,,,6.0,,W017
777,777,2560,2,173,23,,31,2021-05-31 07:34:02,2021-05-31 07:34:02,,,,,,,,5.0,,,,W017
810,810,2921,2,173,23,,19,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,,,,,0.0,,,,W017
803,803,2914,2,173,16,,33,2021-06-07 08:06:45,2021-06-07 08:06:45,7.0,,,,,,,,,,,W017
804,804,2915,2,173,17,,32,2021-06-07 08:06:45,2021-06-07 08:06:45,,6.0,,,,,,,,,,W017
805,805,2916,2,173,18,,30,2021-06-07 08:06:45,2021-06-07 08:06:45,,,4.0,,,,,,,,,W017
806,806,2917,2,173,19,,11,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,0.0,,,,,,,,W017
808,808,2919,2,173,21,,15,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,,,0.0,,,,,,W017
809,809,2920,2,173,22,,33,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,,,,7.0,,,,,W017
811,811,2922,2,173,24,,31,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,,,,,,5.0,,,W017
770,770,2918,2,173,20,,30,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,,4.0,,,,,,,W017
813,813,2924,2,173,26,sequedad de boca,34,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,,,,,,,,8.0,W017
812,812,2923,2,173,25,,32,2021-06-07 08:06:45,2021-06-07 08:06:45,,,,,,,,,,6.0,,W017
