,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
869,869,2184,2,174,26,,30,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,,,,,,,,4.0,W018
872,872,2181,2,174,23,,28,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,,,,,2.0,,,,W018
873,873,2180,2,174,22,,32,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,,,,6.0,,,,,W018
874,874,2179,2,174,21,,30,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,,,4.0,,,,,,W018
875,875,2178,2,174,20,,31,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,,5.0,,,,,,,W018
876,876,2177,2,174,19,,11,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,0.0,,,,,,,,W018
877,877,2176,2,174,18,,29,2021-05-21 08:42:24,2021-05-21 08:42:24,,,3.0,,,,,,,,,W018
878,878,2175,2,174,17,,31,2021-05-21 08:42:24,2021-05-21 08:42:24,,5.0,,,,,,,,,,W018
879,879,2174,2,174,16,,30,2021-05-21 08:42:24,2021-05-21 08:42:24,4.0,,,,,,,,,,,W018
871,871,2182,2,174,24,,21,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,,,,,,0.0,,,W018
870,870,2183,2,174,25,,29,2021-05-21 08:42:24,2021-05-21 08:42:24,,,,,,,,,,3.0,,W018
867,867,2347,2,174,25,,33,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,,,,,,,7.0,,W018
866,866,2346,2,174,24,,31,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,,,,,,5.0,,,W018
865,865,2345,2,174,23,,31,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,,,,,5.0,,,,W018
864,864,2344,2,174,22,,34,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,,,,8.0,,,,,W018
863,863,2343,2,174,21,,32,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,,,6.0,,,,,,W018
862,862,2342,2,174,20,,31,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,,5.0,,,,,,,W018
861,861,2341,2,174,19,,31,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,5.0,,,,,,,,W018
860,860,2340,2,174,18,,31,2021-05-24 09:22:09,2021-05-24 09:22:09,,,5.0,,,,,,,,,W018
868,868,2348,2,174,26,,32,2021-05-24 09:22:09,2021-05-24 09:22:09,,,,,,,,,,,6.0,W018
859,859,2339,2,174,17,,33,2021-05-24 09:22:09,2021-05-24 09:22:09,,7.0,,,,,,,,,,W018
858,858,2338,2,174,16,,34,2021-05-24 09:22:09,2021-05-24 09:22:09,8.0,,,,,,,,,,,W018
814,814,2428,2,174,16,,31,2021-05-26 09:28:30,2021-05-26 09:28:30,5.0,,,,,,,,,,,W018
815,815,2429,2,174,17,,31,2021-05-26 09:28:30,2021-05-26 09:28:30,,5.0,,,,,,,,,,W018
816,816,2430,2,174,18,,33,2021-05-26 09:28:30,2021-05-26 09:28:30,,,7.0,,,,,,,,,W018
817,817,2431,2,174,19,,30,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,4.0,,,,,,,,W018
818,818,2432,2,174,20,,14,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,,10.0,,,,,,,W018
819,819,2433,2,174,21,,30,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,,,4.0,,,,,,W018
820,820,2434,2,174,22,,18,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,,,,10.0,,,,,W018
821,821,2435,2,174,23,,31,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,,,,,5.0,,,,W018
822,822,2436,2,174,24,,31,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,,,,,,5.0,,,W018
823,823,2437,2,174,25,,31,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,,,,,,,5.0,,W018
824,824,2438,2,174,26,,26,2021-05-26 09:28:30,2021-05-26 09:28:30,,,,,,,,,,,10.0,W018
836,836,2498,2,174,16,,29,2021-05-28 09:28:56,2021-05-28 09:28:56,3.0,,,,,,,,,,,W018
844,844,2506,2,174,24,,32,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,,,,,,6.0,,,W018
843,843,2505,2,174,23,,31,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,,,,,5.0,,,,W018
842,842,2504,2,174,22,,18,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,,,,10.0,,,,,W018
841,841,2503,2,174,21,,31,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,,,5.0,,,,,,W018
840,840,2502,2,174,20,,34,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,,8.0,,,,,,,W018
839,839,2501,2,174,19,,29,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,3.0,,,,,,,,W018
838,838,2500,2,174,18,,31,2021-05-28 09:28:56,2021-05-28 09:28:56,,,5.0,,,,,,,,,W018
837,837,2499,2,174,17,,33,2021-05-28 09:28:56,2021-05-28 09:28:56,,7.0,,,,,,,,,,W018
845,845,2507,2,174,25,,33,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,,,,,,,7.0,,W018
846,846,2508,2,174,26,,32,2021-05-28 09:28:56,2021-05-28 09:28:56,,,,,,,,,,,6.0,W018
852,852,2657,2,174,21,,33,2021-05-31 17:31:48,2021-05-31 17:31:48,,,,,,7.0,,,,,,W018
856,856,2653,2,174,17,,34,2021-05-31 17:31:48,2021-05-31 17:31:48,,8.0,,,,,,,,,,W018
857,857,2652,2,174,16,,31,2021-05-31 17:31:48,2021-05-31 17:31:48,5.0,,,,,,,,,,,W018
848,848,2661,2,174,25,,35,2021-05-31 17:31:48,2021-05-31 17:31:48,,,,,,,,,,9.0,,W018
849,849,2660,2,174,24,,30,2021-05-31 17:31:48,2021-05-31 17:31:48,,,,,,,,,4.0,,,W018
850,850,2659,2,174,23,,30,2021-05-31 17:31:48,2021-05-31 17:31:48,,,,,,,,4.0,,,,W018
