,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
18,18,1615,2,113,18,,9,2021-04-30 14:51:08,2021-04-30 14:51:08,,,0.0,,,,,,,,,W001
16,16,1617,2,113,20,,13,2021-04-30 14:51:08,2021-04-30 14:51:08,,,,,0.0,,,,,,,W001
109,109,1734,2,113,26,,25,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,,,,,,,0.0,W001
110,110,1733,2,113,25,,23,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,,,,,,0.0,,W001
112,112,1731,2,113,23,,19,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,,,,0.0,,,,W001
113,113,1730,2,113,22,,17,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,,,0.0,,,,,W001
111,111,1732,2,113,24,,21,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,,,,,0.0,,,W001
115,115,1728,2,113,20,,13,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,0.0,,,,,,,W001
116,116,1727,2,113,19,,11,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,0.0,,,,,,,,W001
117,117,1726,2,113,18,,9,2021-05-03 16:12:50,2021-05-03 16:12:50,,,0.0,,,,,,,,,W001
118,118,1725,2,113,17,,7,2021-05-03 16:12:50,2021-05-03 16:12:50,,0.0,,,,,,,,,,W001
119,119,1724,2,113,26,,5,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,,,,,,,,W001
114,114,1729,2,113,21,,15,2021-05-03 16:12:50,2021-05-03 16:12:50,,,,,,0.0,,,,,,W001
99,99,1749,2,113,25,,23,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,,,,,,,0.0,,W001
98,98,1750,2,113,26,,25,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,,,,,,,,0.0,W001
100,100,1748,2,113,24,,21,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,,,,,,0.0,,,W001
101,101,1747,2,113,23,,19,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,,,,,0.0,,,,W001
102,102,1746,2,113,22,,17,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,,,,0.0,,,,,W001
106,106,1742,2,113,18,,9,2021-05-05 14:10:45,2021-05-05 14:10:45,,,0.0,,,,,,,,,W001
104,104,1744,2,113,20,,13,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,,0.0,,,,,,,W001
105,105,1743,2,113,19,,11,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,0.0,,,,,,,,W001
107,107,1741,2,113,17,,7,2021-05-05 14:10:45,2021-05-05 14:10:45,,0.0,,,,,,,,,,W001
108,108,1740,2,113,16,,5,2021-05-05 14:10:45,2021-05-05 14:10:45,0.0,,,,,,,,,,,W001
103,103,1745,2,113,21,,15,2021-05-05 14:10:45,2021-05-05 14:10:45,,,,,,0.0,,,,,,W001
76,76,1761,2,113,26,ahora bien ayer como falta de aire,25,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,,,,,,,,0.0,W001
89,89,1759,2,113,24,,21,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,,,,,,0.0,,,W001
97,97,1751,2,113,16,,5,2021-05-07 14:41:45,2021-05-07 14:41:45,0.0,,,,,,,,,,,W001
96,96,1752,2,113,17,,7,2021-05-07 14:41:45,2021-05-07 14:41:45,,0.0,,,,,,,,,,W001
95,95,1753,2,113,18,,9,2021-05-07 14:41:45,2021-05-07 14:41:45,,,0.0,,,,,,,,,W001
