Day of Week,Day of Week Num,kcals,METs,Number of Freedson (1998) Bouts occurring in this day,Number of Freedson (1998) Bouts starting in this day,Number of Freedson (1998) Bouts ending in this day,Total time of Freedson (1998) Bouts occurring in this day,Total activity counts of Freedson (1998) Bouts occurring in this day,Number of Sedentary Bouts occurring in this day,Number of Sedentary Bouts starting in this day,Number of Sedentary Bouts ending in this day,Total time of Sedentary Bouts occurring in this day,Number of Sedentary Breaks occurring in this day,Number of Sedentary Breaks starting in this day,Number of Sedentary Breaks ending in this day,Total time of Sedentary Breaks occurring in this day,Sedentary,Light,Moderate,Vigorous,Very Vigorous,Total MVPA,% in MVPA,Axis 1 Counts,Axis 2 Counts,Axis 3 Counts,Axis 1 Average Counts,Axis 2 Average Counts,Axis 3 Average Counts,Axis 1 Max Counts,Axis 2 Max Counts,Axis 3 Max Counts,Axis 1 CPM,Axis 2 CPM,Axis 3 CPM,Vector Magnitude Counts,Vector Magnitude Average Counts,Vector Magnitude Max Counts,Vector Magnitude CPM,Steps Counts,Steps Average Counts,Steps Max Counts,Steps Per Minute,Lux Average Counts,Lux Max Counts,Number of Epochs,Time,Calendar Days
Monday,1,2632.269,1.305,4,4,4,42.3333333333333,147944,58,55,56,1385.16666666667,56,56,55,2934.83333333333,3003.7,851.8,362.3,0,0,362.333333333333,0.1,2469550,2361811,3136024,97.6,93.3,123.8,2085,3294,2180,585.5,560,743.5,4638539.7,194.3,4450.5,1099.7,24839,1,17,5.9,0,0,25307,4217.83,3
Tuesday,2,2712.472,1.311,4,4,4,43.3333333333333,133323,55,53,53,1389.66666666667,54,53,53,2930.33333333333,2927,931.3,357.3,0,0,357.333333333333,0.1,2530698,2350399,3253880,100.2,93.1,128.8,1847,2155,2245,600.3,557.5,771.9,4745700.7,199.6,2859.1,1125.7,26096,1,17,6.2,0,0,25294,4215.67,3
Wednesday,3,2538.490,1.318,2,2,2,25.6666666666667,94086,43,41,40,1059.33333333333,41,40,41,3260.66666666667,2865.2,915.8,330.2,0,0,330.166666666667,0.1,2351487,2302305,3074315,110.8,100.6,129,2047,1984,1896,572,560,747.8,4504358.6,209.7,2833.1,1095.6,25751,1.1,17,6.3,0,0,24667,4111.17,5
Thursday,4,2830.238,1.347,2,2,2,21.6666666666667,65927,55,52,52,1298.83333333333,51,51,51,3124,2882.7,931.7,385.8,0,0,385.833333333333,0.1,2659607,2544006,3276554,121.3,99.2,138.9,1884,2075,1883,633.2,605.7,780.1,4929982.6,221.4,3200,1173.8,27379,1.3,17,6.5,0,0,25201,4200.17,5
Friday,5,2945.404,1.383,2,2,2,21.5,70036,41,38,39,914.833333333333,39,39,38,3405.16666666667,2389.8,962.2,407.2,0,0,407.166666666667,0.1,2787922,2632630,3471511,123.3,116.6,153.6,1800,2727,2183,741.6,700.3,923.5,5172696.1,243.2,3355.3,1376,30009,1.3,20,8,0,0,22555,3759.17,3
Saturday,6,2422.439,1.308,2,2,2,20.8333333333333,61569,57,55,56,1244.16666666667,57,56,55,3075.83333333333,2629.2,837.7,323.8,0,0,323.833333333333,0.1,2276938,2127636,2977025,100.2,93.6,130.9,1736,1857,2172,600.7,561.3,785.4,4310887.7,201.6,3146.2,1137.2,23268,1,19,6.1,0,0,22744,3790.67,3
Sunday,7,2126.404,1.255,2,2,2,21,66396,66,65,63,1577.33333333333,65,63,65,2742.66666666667,3048.8,715.2,285.3,0,0,285.333333333333,0.1,1962017,1829964,2494159,81.2,75.6,103.2,1677,1901,1833,484.5,451.9,615.9,3663608.6,161.2,2554.6,904.7,18573,0.8,23,4.6,0,0,24296,4049.33,3
